Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price
Toyota,Prado,2008,Offroader / SUV,Qara,2.7,-0.27527092986442575,Benzin,Avtomat,-0.2048288422084328,Xeyr,16588.235294117647
LADA (VAZ),2107,2012,Sedan,Qara,1.6,-1.1348106473762067,Benzin,Mexaniki,-0.7445277115932696,Xeyr,3647.0588235294117
Kia,Rio,2006,Hetçbek,Boz,1.4,-0.9199257179982616,Benzin,Mexaniki,-0.23103724054186914,Xeyr,7000.0
Toyota,Corolla,2019,Sedan,Yaş Asfalt,1.6,-0.6562033046707832,Benzin,Avtomat,-0.828006313692363,Xeyr,20800.0
Kia,Sorento,2011,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,0.5600681165600049,Xeyr,17352.941176470587
Kia,Rio,2005,Hetçbek,Narıncı,1.5,-0.7929482597294757,Dizel,Mexaniki,2.7199701709178745,Xeyr,6588.235294117647
BMW,523,2000,Sedan,Qara,2.5,-0.20689845233507956,Benzin,Avtomat,1.3851473233533704,Xeyr,9882.35294117647
Mercedes,S 500,2017,Sedan,Qara,4.7,2.576838132788302,Benzin,Avtomat,-0.4979746309750168,Xeyr,74999.0
Mercedes,E 240,2000,Sedan,Göy,2.6,-0.20689845233507956,Benzin,Avtomat,1.6278176782925957,Xeyr,8411.764705882353
Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5,0.5647337940675421,Hibrid,Avtomat,-1.4783628649294864,Bəli,59999.0
Toyota,Camry,2022,Sedan,Ağ,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,39800.0
Mercedes,GLS 580,2020,Offroader / SUV,Qara,4.0,2.850328042905687,Benzin,Avtomat,-0.9541948982607601,Xeyr,142999.0
Kia,Ceed,2007,Hetçbek,Qara,1.6,-0.7441107757799427,Dizel,Mexaniki,1.0454088264384551,Xeyr,8117.64705882353
BMW,528,2014,Sedan,Ağ,2.0,0.5256638069079157,Benzin,Avtomat,0.2688636906329347,Xeyr,20294.117647058825
Toyota,Highlander,2022,Offroader / SUV,Yaş Asfalt,2.5,0.5647337940675421,Hibrid,Avtomat,-1.4783628649294864,Bəli,59999.0
Mercedes,C 220,2000,Universal,Gümüşü,2.2,-0.47062086566255784,Dizel,Avtomat,2.773221753605738,Xeyr,8117.64705882353
Land Rover,Range Rover,2022,Offroader / SUV,Qara,4.4,3.3094003920312973,Benzin,Avtomat,-1.4783628649294864,Bəli,267000.0
Mercedes,E 200,2022,Sedan,Qara,2.0,0.05682396099239873,Benzin,Avtomat,-1.4783628649294864,Bəli,73382.35294117648
BMW,X6,2010,Offroader / SUV,Ağ,4.4,2.1079982868727853,Benzin,Avtomat,-0.1970633908503776,Xeyr,26500.0
Hyundai,Grandeur,2013,Sedan,Qara,2.4,0.08612645136211854,Benzin,Avtomat,-0.22618383344308463,Xeyr,16176.470588235294
Chevrolet,Cruze,2015,Sedan,Qara,1.4,-0.49015585924237104,Benzin,Avtomat,0.35622501841105575,Xeyr,8529.411764705883
Hyundai,Genesis,2013,Sedan,Ağ,3.8,1.3559010340499769,Benzin,Avtomat,0.46299997458431486,Xeyr,16176.470588235294
Hyundai,Elantra,2016,Sedan,Yaş Asfalt,2.0,-0.4022483881332116,Benzin,Avtomat,-0.7823842869637887,Xeyr,15000.0
BMW,320,2014,Sedan,Qara,2.0,-0.0701534972763871,Dizel,Avtomat,-0.17764976245523958,Xeyr,21900.0
Hyundai,Sonata,2020,Sedan,Ağ,2.0,-0.25573593628461255,Hibrid,Avtomat,-1.4783628649294864,Bəli,35999.0
Toyota,Land Cruiser,2022,Offroader / SUV,Qara,3.5,2.1861382611920384,Benzin,Avtomat,-1.4783628649294864,Bəli,121900.0
Kia,Cerato,2008,Sedan,Ağ,1.6,-0.6757382982505965,Benzin,Avtomat,1.0745292690311623,Xeyr,7647.058823529412
Nissan,Tiida,2012,Hetçbek,Gümüşü,1.5,-0.8027157565193823,Benzin,Avtomat,-1.0666386339253995,Xeyr,8411.764705882353
Hyundai,Sonata,2020,Sedan,Qırmızı,2.0,-0.25573593628461255,Hibrid,Avtomat,-1.4783628649294864,Bəli,35999.0
Mercedes,S 350,2009,Sedan,Qara,3.5,1.1214811110922185,Benzin,Avtomat,0.2979841332256417,Xeyr,21470.58823529412
Nissan,Note,2013,Hetçbek,Qara,1.2,-0.910158221208355,Benzin,Avtomat,-1.105116445404563,Xeyr,8647.058823529413
Toyota,Camry,2022,Sedan,Ağ,2.5,0.2619413935804374,Hibrid,Avtomat,-1.4783628649294864,Bəli,39999.0
Nissan,Tiida,2012,Hetçbek,Qara,1.5,-0.8027157565193823,Benzin,Avtomat,-1.0657067797624329,Xeyr,8705.882352941177
Nissan,Tiida,2012,Hetçbek,Qara,1.5,-0.8027157565193823,Benzin,Avtomat,-0.9158335685519674,Xeyr,8588.235294117647
Toyota,Prado,2009,Offroader / SUV,Ağ,2.7,-0.27527092986442575,Benzin,Avtomat,0.12326147766939961,Xeyr,20882.352941176472
Nissan,Note,2015,Hetçbek,Ağ,1.2,-0.910158221208355,Benzin,Avtomat,-1.1080284896638337,Xeyr,8941.176470588236
Nissan,Tiida,2012,Hetçbek,Gümüşü,1.5,-0.8027157565193823,Benzin,Avtomat,-1.1339845108281332,Xeyr,8823.529411764706
Nissan,Note,2013,Hetçbek,Bənövşəyi,1.2,-1.0957406602165805,Benzin,Avtomat,-1.208018382712992,Xeyr,8647.058823529413
Nissan,Note,2013,Hetçbek,Qara,1.2,-0.910158221208355,Benzin,Avtomat,-1.0688614943766428,Xeyr,8705.882352941177
Nissan,Sunny,2008,Sedan,Qızılı,1.6,-0.8222507500991956,Benzin,Avtomat,0.6668430727332639,Xeyr,7941.176470588235
Nissan,Tiida,2012,Hetçbek,Qızılı,1.5,-0.8027157565193823,Benzin,Avtomat,-1.0051459659837998,Xeyr,8529.411764705883
Nissan,Note,2014,Hetçbek,Ağ,1.2,-0.910158221208355,Benzin,Avtomat,-1.0682208446396033,Xeyr,8470.588235294117
