,Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price,Price_currency,Link
14069,Daewoo,Gentra,2013,Sedan,Qara,1.5,107,Benzin,Mexaniki,323000,Xeyr,9700,AZN,https://turbo.az//autos/7433129-daewoo-gentra
14070,Land Rover,RR Sport,2014,Offroader / SUV,Ağ,3.0,340,Benzin,Avtomat,43200,Xeyr,53900,USD,https://turbo.az//autos/7433130-land-rover-rr-sport
14071,Ford,Transit,1999,Furqon,Qırmızı,2.5,85,Dizel,Mexaniki,450526,Xeyr,11800,AZN,https://turbo.az//autos/7433128-ford-transit
14072,LADA (VAZ),Priora,2013,Hetçbek,Ağ,1.6,98,Benzin,Mexaniki,214000,Xeyr,12900,AZN,https://turbo.az//autos/7433123-lada-vaz-priora
14073,Mercedes,E 220,2003,Sedan,Gümüşü,2.2,170,Dizel,Avtomat,350000,Xeyr,16700,AZN,https://turbo.az//autos/7414474-mercedes-e-220
14074,Mercedes,C 230,1999,Sedan,Qara,2.3,193,Benzin,Avtomat,348000,Xeyr,15000,AZN,https://turbo.az//autos/7433116-mercedes-c-230
14075,Mercedes,E 220,2014,Sedan,Göy,2.2,170,Dizel,Avtomat,370000,Xeyr,19500,USD,https://turbo.az//autos/7433100-mercedes-e-220
14076,SamAuto, LE60,2023,Avtobus,Ağ,4.5,185,Dizel,Avtomat,0,Bəli,194000,AZN,https://turbo.az//autos/7374655-samauto-le60
14077,Chery,Tiggo 2 Pro,2022,Offroader / SUV,Qara,1.5,109,Benzin,Avtomat,0,Bəli,27900,AZN,https://turbo.az//autos/6507131-chery-tiggo-2-pro
14078,Chevrolet,Onix,2023,Sedan,Göy,1.2,132,Benzin,Avtomat,0,Bəli,35600,AZN,https://turbo.az//autos/7415662-chevrolet-onix
14079,Kia,Sorento,2020,Offroader / SUV,Mavi,1.6,230,Hibrid,Avtomat,22000,Xeyr,38500,USD,https://turbo.az//autos/7358108-kia-sorento
14080,Nissan,Altima,2019,Sedan,Yaş Asfalt,2.0,248,Benzin,Avtomat,32000,Xeyr,28500,USD,https://turbo.az//autos/7018399-nissan-altima
14081,Volkswagen,ID.6,2022,Offroader / SUV,Göy,0.0,204,Elektro,Avtomat,0,Bəli,43200,USD,https://turbo.az//autos/7419896-volkswagen-id-6
14082,Land Rover,Discovery,2008,Offroader / SUV,Qara,2.7,190,Dizel,Avtomat,390000,Xeyr,29500,AZN,https://turbo.az//autos/7429031-land-rover-discovery
14083,Hyundai,ix35,2013,Offroader / SUV,Ağ,2.0,163,Benzin,Avtomat,118000,Xeyr,28000,AZN,https://turbo.az//autos/7370359-hyundai-ix35
14084,Mercedes,E 200,2010,Sedan,Qara,2.2,136,Dizel,Avtomat,275000,Xeyr,24900,AZN,https://turbo.az//autos/7351064-mercedes-e-200
14085,Mercedes,E 280,1999,Sedan,Göy,2.8,204,Benzin,Avtomat,360000,Xeyr,13900,AZN,https://turbo.az//autos/7419837-mercedes-e-280
14086,Hyundai,ix35,2010,Offroader / SUV,Gümüşü,2.4,178,Benzin,Avtomat,137000,Xeyr,24900,AZN,https://turbo.az//autos/7345169-hyundai-ix35
14087,Kia,Optima,2015,Sedan,Tünd qırmızı,2.0,274,Benzin,Avtomat,96000,Xeyr,24900,AZN,https://turbo.az//autos/7406200-kia-optima
14088,Toyota,RAV4,1997,Offroader / SUV,Yaşıl,2.0,180,Benzin,Avtomat,100000,Xeyr,8700,AZN,https://turbo.az//autos/7423082-toyota-rav4
14089,Hyundai,Elantra,2011,Sedan,Qırmızı,1.8,150,Benzin,Avtomat,206743,Xeyr,20800,AZN,https://turbo.az//autos/7260828-hyundai-elantra
14090,LADA (VAZ),Niva,2007,Offroader / SUV,Ağ,1.7,80,Benzin,Mexaniki,220000,Xeyr,7500,AZN,https://turbo.az//autos/7433107-lada-vaz-niva
14091,Toyota,Corolla,2006,Hetçbek,Göy,1.4,97,Benzin,Mexaniki,127000,Xeyr,15200,AZN,https://turbo.az//autos/7433109-toyota-corolla
14092,Mercedes,190,1991,Sedan,Gümüşü,2.3,136,Benzin,Avtomat,382000,Xeyr,3000,AZN,https://turbo.az//autos/7433102-mercedes-190
14093,BMW,530,2006,Sedan,Gümüşü,3.0,258,Benzin,Avtomat,222111,Xeyr,15900,AZN,https://turbo.az//autos/7388137-bmw-530
14094,Mercedes,C 180,1997,Sedan,Göy,1.8,122,Benzin,Avtomat,560000,Xeyr,10600,AZN,https://turbo.az//autos/7433097-mercedes-c-180
14095,Kia,Cadenza,2011,Sedan,Ağ,3.5,290,Benzin,Avtomat,233000,Xeyr,24200,AZN,https://turbo.az//autos/7429677-kia-cadenza
